tweet_id,favorites,retweet_count
849412302885593088,15377,3020
849336543269576704,11072,1816
849051919805034497,41041,8122
848690551926992896,24432,4160
848324959059550208,23972,4451
848213670039564288,7926,693
848212111729840128,15840,2906
847978865427394560,0,3140
847971574464610304,0,420
847962785489326080,22850,4880
847842811428974592,5266,1271
847617282490613760,6784,396
847606175596138505,18257,3301
847251039262605312,19951,4166
847157206088847362,19332,5646
847116187444137987,20886,3069
846874817362120707,19529,3780
846514051647705089,43354,11115
846505985330044928,13736,2956
846153765933735936,30709,8700
846139713627017216,30231,9708
846042936437604353,15554,2764
845812042753855489,28445,8376
845677943972139009,24574,4641
845397057150107648,7428,1727
845306882940190720,22736,5200
845098359547420673,0,7407
844979544864018432,13304,2461
844973813909606400,14668,3068
844580511645339650,16058,3014
844223788422217728,13348,2115
843981021012017153,14818,2858
843856843873095681,20946,4473
843604394117681152,16494,2653
843235543001513987,21015,5828
842846295480000512,14956,3517
842765311967449089,6570,1231
842535590457499648,17718,3404
842163532590374912,23907,5605
842115215311396866,13664,2931
841833993020538882,0,14586
841680585030541313,25215,7592
841439858740625411,12371,3565
841320156043304961,19379,5346
841314665196081154,15520,4511
841077006473256960,22375,5154
840761248237133825,0,1713
840728873075638272,0,15608
840698636975636481,172,2
840696689258311684,12037,946
840632337062862849,8816,1713
840370681858686976,16115,4428
840268004936019968,18873,5562
839990271299457024,13175,2213
839549326359670784,26927,7541
839290600511926273,0,140
839239871831150596,26593,6359
838952994649550848,19302,3891
838921590096166913,10926,1996
838916489579200512,0,33
838831947270979586,0,10725
838561493054533637,10765,1299
838476387338051585,22064,4650
838201503651401729,0,9788
838150277551247360,1640,324
838085839343206401,138,1
838083903487373313,17325,3046
837820167694528512,33461,7668
837482249356513284,3800,435
837471256429613056,12579,2219
837110210464448512,15773,2310
836989968035819520,12545,2250
836753516572119041,19041,4544
836677758902222849,12433,2180
836648853927522308,0,541
836397794269200385,0,26886
836380477523124226,14533,2926
836260088725786625,20980,4215
836001077879255040,18787,4169
835685285446955009,0,7960
835574547218894849,17517,3542
835536468978302976,0,1655
835309094223372289,0,20480
835297930240217089,16223,2939
835264098648616962,7606,1655
835246439529840640,2062,72
835172783151792128,25781,5645
835152434251116546,22038,2939
834931633769889797,10638,1597
834786237630337024,21104,5395
834574053763584002,13448,2471
834477809192075265,0,10431
834458053273591808,9492,1642
834209720923721728,20273,4645
834167344700198914,15602,3587
834089966724603904,9896,2093
834086379323871233,12873,2166
833863086058651648,13249,2363
833826103416520705,17835,3704
833732339549220864,0,219
833722901757046785,20549,3163
833479644947025920,14668,2008
833124694597443584,19927,4755
832998151111966721,13069,2155
832769181346996225,0,39
832757312314028032,16655,3549
832682457690300417,11716,2859
832645525019123713,2889,523
832636094638288896,15650,2733
832397543355072512,11812,2169
832369877331693569,16957,3140
832273440279240704,11199,2292
832215909146226688,0,6100
832215726631055365,0,9155
832088576586297345,62,2
832040443403784192,0,9435
832032802820481025,17632,4580
831939777352105988,23682,6025
831926988323639298,332,34
831911600680497154,27229,6377
831670449226514432,10298,1781
831650051525054464,7032,1884
831552930092285952,8863,2280
831322785565769729,9175,1530
831315979191906304,6463,1107
831309418084069378,11618,2422
831262627380748289,11755,2006
830956169170665475,7887,1469
830583320585068544,65979,16465
830173239259324417,0,5593
830097400375152640,9671,2885
829878982036299777,0,4920
829861396166877184,12112,1911
829501995190984704,31374,10431
829449946868879360,10360,1978
829141528400556032,24114,7210
829011960981237760,52637,16067
828801551087042563,0,3372
828770345708580865,25319,5758
828708714936930305,36091,10998
828650029636317184,9406,1316
828409743546925057,6291,1150
828408677031882754,7602,1269
828381636999917570,12463,2186
828376505180889089,7299,1052
828372645993398273,12452,2890
828361771580813312,2166,172
828046555563323392,11633,2833
828011680017821696,10249,2122
827933404142436356,19891,5161
827653905312006145,15351,2981
827600520311402496,7397,930
827324948884643840,15692,2997
827199976799354881,10484,2194
826958653328592898,21365,4920
826848821049180160,35958,10006
826615380357632002,0,3936
826598799820865537,5079,247
826598365270007810,9936,2310
826476773533745153,18237,4129
826240494070030336,13157,2572
826204788643753985,4832,910
826115272272650244,15510,3059
825876512159186944,10385,1843
825829644528148480,12639,2459
825535076884762624,56412,17342
825147591692263424,18149,4485
825120256414846976,0,1238
825026590719483904,6240,1238
824796380199809024,0,5438
824775126675836928,14786,3467
824663926340194305,10441,1755
824325613288833024,11735,10436
824297048279236611,14942,3813
824025158776213504,4788,593
823939628516474880,10547,2673
823719002937630720,0,11043
823699002998870016,13866,2492
823581115634085888,12921,2598
823333489516937216,696,23
823322678127919110,15619,3972
823269594223824897,0,9782
822975315408461824,17207,3406
822872901745569793,130592,42700
822859134160621569,13153,2248
822647212903690241,0,6347
822610361945911296,14702,2927
822489057087389700,18024,6347
822462944365645825,27769,14114
822244816520155136,34729,9782
822163064745328640,0,4708
821886076407029760,11246,2282
821813639212650496,0,3347
821765923262631936,8355,1637
821522889702862852,7980,1741
821421320206483457,0,5518
821407182352777218,11681,4296
821153421864615936,256,10
821149554670182400,8583,1951
821107785811234820,9540,2117
821044531881721856,12597,2254
820837357901512704,0,6655
820749716845686786,31367,9788
820690176645140481,12156,3201
820494788566847489,0,561
820446719150292993,0,2550
820314633777061888,3327,561
820078625395449857,19701,6228
820013781606658049,0,1165
819952236453363712,5299,1165
819924195358416896,12846,4846
819711362133872643,13299,3082
819588359383371776,9603,1975
819347104292290561,7180,1193
819238181065359361,2250,404
819227688460238848,22950,6655
819015337530290176,0,36611
819015331746349057,0,18855
819006400881917954,45098,18855
819004803107983360,86593,36611
818646164899774465,0,20817
818627210458333184,22294,7490
818614493328580609,9785,2530
818588835076603904,0,6080
818536468981415936,10827,2433
818307523543449600,0,8005
818259473185828864,10958,2241
818145370475810820,12200,2552
817908911860748288,4824,796
817827839487737858,51373,26886
817777686764523521,10708,2667
817536400337801217,11723,2937
817502432452313088,0,3362
817423860136083457,33646,14586
817415592588222464,5567,938
817181837579653120,0,8412
817171292965273600,8726,2010
817120970343411712,12175,2580
817056546584727552,8558,1634
816829038950027264,0,4694
816816676327063552,9961,2029
816697700272001025,9737,2169
816450570814898180,30316,8005
816336735214911488,8571,1934
816091915477250048,8897,2125
